Cluster,timestamp
5,2021-01-31
5,2021-01-31
9,2021-01-31
8,2021-01-31
5,2021-01-31
1,2021-01-31
5,2021-01-31
7,2021-01-31
8,2021-01-31
3,2021-01-31
2,2021-01-31
2,2021-01-31
0,2021-01-31
3,2021-01-31
2,2021-01-31
1,2021-01-31
8,2021-01-31
9,2021-01-31
5,2021-01-31
2,2021-01-31
6,2021-01-31
3,2021-01-31
5,2021-01-31
5,2021-01-31
5,2021-01-31
3,2021-01-31
2,2021-01-31
1,2021-01-31
2,2021-01-31
4,2021-01-31
1,2021-01-31
7,2021-01-31
5,2021-01-31
2,2021-01-31
5,2021-01-31
2,2021-01-31
3,2021-01-31
5,2021-01-31
2,2021-01-31
5,2021-01-31
5,2021-01-31
7,2021-01-31
1,2021-01-31
8,2021-01-31
7,2021-01-31
5,2021-01-31
8,2021-01-31
7,2021-01-31
5,2021-01-31
7,2021-01-31
7,2021-01-31
5,2021-01-31
5,2021-02-28
9,2021-02-28
8,2021-02-28
2,2021-02-28
5,2021-02-28
5,2021-02-28
7,2021-02-28
2,2021-02-28
2,2021-02-28
8,2021-02-28
9,2021-02-28
2,2021-02-28
9,2021-02-28
9,2021-02-28
8,2021-02-28
2,2021-02-28
3,2021-02-28
1,2021-02-28
2,2021-02-28
2,2021-02-28
5,2021-02-28
5,2021-02-28
5,2021-02-28
2,2021-02-28
1,2021-02-28
9,2021-02-28
2,2021-02-28
1,2021-02-28
2,2021-02-28
1,2021-02-28
2,2021-02-28
5,2021-02-28
8,2021-02-28
5,2021-02-28
5,2021-02-28
7,2021-02-28
2,2021-02-28
3,2021-02-28
8,2021-02-28
5,2021-02-28
1,2021-02-28
8,2021-02-28
5,2021-02-28
3,2021-02-28
3,2021-02-28
5,2021-02-28
5,2021-02-28
7,2021-02-28
1,2021-02-28
2,2021-03-31
5,2021-03-31
5,2021-03-31
5,2021-03-31
9,2021-03-31
2,2021-03-31
1,2021-03-31
1,2021-03-31
1,2021-03-31
2,2021-03-31
9,2021-03-31
3,2021-03-31
3,2021-03-31
6,2021-03-31
3,2021-03-31
1,2021-03-31
3,2021-03-31
1,2021-03-31
5,2021-03-31
1,2021-03-31
7,2021-03-31
9,2021-03-31
5,2021-03-31
5,2021-03-31
5,2021-03-31
8,2021-03-31
1,2021-03-31
9,2021-03-31
3,2021-03-31
5,2021-03-31
2,2021-03-31
2,2021-03-31
2,2021-03-31
5,2021-03-31
2,2021-03-31
7,2021-03-31
8,2021-03-31
1,2021-03-31
3,2021-03-31
8,2021-03-31
5,2021-03-31
3,2021-03-31
7,2021-03-31
4,2021-03-31
2,2021-03-31
3,2021-03-31
5,2021-03-31
1,2021-03-31
8,2021-03-31
7,2021-03-31
4,2021-03-31
5,2021-04-30
7,2021-04-30
5,2021-04-30
5,2021-04-30
5,2021-04-30
5,2021-04-30
3,2021-04-30
8,2021-04-30
2,2021-04-30
1,2021-04-30
2,2021-04-30
6,2021-04-30
1,2021-04-30
1,2021-04-30
1,2021-04-30
2,2021-04-30
2,2021-04-30
4,2021-04-30
7,2021-04-30
6,2021-04-30
8,2021-04-30
2,2021-04-30
9,2021-04-30
5,2021-04-30
1,2021-04-30
5,2021-04-30
4,2021-04-30
2,2021-04-30
2,2021-04-30
1,2021-04-30
5,2021-04-30
5,2021-04-30
3,2021-04-30
2,2021-04-30
8,2021-04-30
3,2021-04-30
1,2021-04-30
5,2021-04-30
5,2021-04-30
5,2021-04-30
6,2021-04-30
1,2021-04-30
7,2021-04-30
5,2021-04-30
7,2021-04-30
1,2021-04-30
8,2021-04-30
8,2021-04-30
5,2021-04-30
9,2021-05-31
7,2021-05-31
5,2021-05-31
7,2021-05-31
5,2021-05-31
9,2021-05-31
4,2021-05-31
2,2021-05-31
5,2021-05-31
8,2021-05-31
3,2021-05-31
1,2021-05-31
2,2021-05-31
1,2021-05-31
2,2021-05-31
9,2021-05-31
9,2021-05-31
4,2021-05-31
5,2021-05-31
8,2021-05-31
2,2021-05-31
5,2021-05-31
1,2021-05-31
4,2021-05-31
9,2021-05-31
2,2021-05-31
8,2021-05-31
2,2021-05-31
1,2021-05-31
1,2021-05-31
2,2021-05-31
5,2021-05-31
1,2021-05-31
1,2021-05-31
8,2021-05-31
5,2021-05-31
2,2021-05-31
5,2021-05-31
