date,keyword,cpc,generated_text
2021-01-01,evaluation,3.99,"""education"""
2021-01-01,certification,5.01,"""cooking"""
2021-01-01,astronomer,6.51,"""space"""
2021-01-01,astronaut,3.65,"""space"""
2021-01-01,city tour,9.99,"""travel"""
2021-01-02,team,9.5,"""sport"""
2021-01-02,league,7.07,"""sport"""
2021-01-02,culinary,3.76,"""cooking"""
2021-01-02,pasta,3.57,"""cooking"""
2021-01-03,innovation,6.67,"""game"""
2021-01-03,classroom,3.68,"""education"""
2021-01-03,gymnastics,5.27,"""sport"""
2021-01-03,scores,0.17,"""sport"""
2021-01-03,city tour,4.62,"""travel"""
2021-01-03,flavor,5.27,"""cooking"""
2021-01-03,restaurant,3.64,"""cooking"""
2021-01-04,knowledge,1.01,"""education"""
2021-01-04,ionosphere,0.22,"""space"""
2021-01-04,baking,9.87,"""cooking"""
2021-01-04,sustainable,6.86,"""cooking"""
2021-01-05,orbiting,1.83,"""space"""
2021-01-05,international,6.96,"""travel"""
2021-01-06,classroom,6.37,"""education"""
2021-01-06,aerospace,3.81,"""space"""
2021-01-06,celestial,2.45,"""cooking"""
2021-01-06,photography,1.18,"""fashion"""
2021-01-07,resort,1.66,"""travel"""
2021-01-07,excursion,9.23,"""travel"""
2021-01-08,critical thinking,5.52,"""education"""
2021-01-08,certification,5.97,"""cooking"""
2021-01-08,planetary science,0.39,"""space"""
2021-01-08,milky way,9.96,"""cooking"""
2021-01-09,professor,8.64,"""education"""
2021-01-09,study habits,7.27,"""education"""
2021-01-09,spacecraft,6.23,"""space"""
2021-01-09,rover,2.84,"""space"""
2021-01-09,performance,8.92,"""sport"""
2021-01-09,cruise,6.66,"""travel"""
2021-01-09,itinerary,7.34,"""travel"""
2021-01-09,presentation,8.95,"""education"""
2021-01-09,dessert,8.56,"""cooking"""
2021-01-10,orbit,9.34,"""space"""
2021-01-10,heritage,6.85,"""cooking"""
2021-01-10,itinerary,3.99,"""travel"""
2021-01-10,seasonal,7.5,"""fashion"""
2021-01-10,slow cooker,3.39,"""cooking"""
2021-01-11,degree,5.68,"""education"""
2021-01-11,qualification,0.82,"""education"""
2021-01-11,alien,4.85,"""space"""
2021-01-11,basketball,1.99,"""sport"""
2021-01-11,technique,8.55,"""game"""
2021-01-11,dessert,4.23,"""cooking"""
2021-01-12,assessment,7.92,"""education"""
2021-01-12,degree,8.17,"""education"""
2021-01-13,records,8.96,"""game"""
2021-01-13,officiating,8.57,"""sport"""
2021-01-13,menu,3.52,"""game"""
2021-01-13,lunch,0.77,"""cooking"""
2021-01-14,online learning,1.32,"""education"""
2021-01-14,graduation,9.31,"""education"""
2021-01-14,orbit,4.38,"""space"""
2021-01-14,cricket,3.6,"""game"""
2021-01-14,hockey,0.99,"""sport"""
2021-01-14,beach,2.73,"""sport"""
2021-01-14,transportation,0.77,"""travel"""
2021-01-14,slow cooker,0.48,"""cooking"""
2021-01-15,knowledge,7.34,"""education"""
2021-01-15,relaxation,9.36,"""game"""
2021-01-15,explore,5.15,"""game"""
2021-01-15,gluten-free,6.9,"""cooking"""
2021-01-16,rover,0.86,"""space"""
2021-01-16,galaxy,8.5,"""game"""
2021-01-16,tournament,0.11,"""sport"""
2021-01-16,getaway,7.76,"""travel"""
2021-01-16,menu,7.46,"""game"""
2021-01-17,degree,9.91,"""education"""
2021-01-17,mission,2.88,"""game"""
2021-01-17,cricket,9.23,"""game"""
2021-01-17,marathon,8.12,"""sport"""
2021-01-17,cruise,1.17,"""travel"""
2021-01-17,transport,2.28,"""sport"""
2021-01-18,student,7.18,"""education"""
2021-01-18,solar,4.79,"""cooking"""
2021-01-18,nature,6.04,"""sport"""
2021-01-18,kitchen,4.85,"""cooking"""
2021-01-19,assessment tool,1.19,"""education"""
2021-01-19,galaxy,3.64,"""game"""
2021-01-19,spacecraft,1.4,"""space"""
2021-01-19,transport,1.83,"""sport"""
2021-01-19,cuisine,7.55,"""cooking"""
2021-01-20,slow cooker,0.96,"""cooking"""
2021-01-21,knowledge,4.86,"""education"""
2021-01-21,getaway,3.4,"""travel"""
2021-01-22,rover,7.0,"""space"""
2021-01-22,football,4.4,"""sport"""
2021-01-22,technique,0.45,"""game"""
2021-01-22,barbecue,0.61,"""cooking"""
2021-01-23,skateboarding,8.74,"""sport"""
2021-01-23,fanbase,2.74,"""game"""
2021-01-23,salad,5.95,"""cooking"""
2021-01-23,lunch,6.07,"""cooking"""
2021-01-24,knowledge,4.38,"""education"""
2021-01-24,achievement,1.66,"""sport"""
2021-01-24,lunar,8.26,"""game"""
2021-01-24,fanbase,0.7,"""game"""
2021-01-24,records,4.78,"""game"""
2021-01-24,picturesque,7.34,"""fashion"""
2021-01-25,alien,2.55,"""space"""
2021-01-25,scores,9.66,"""sport"""
2021-01-25,vacation,6.65,"""travel"""
2021-01-25,travel blog,4.43,"""travel"""
2021-01-25,international,8.41,"""travel"""
2021-01-25,cooking,3.63,"""cooking"""
2021-01-26,literacy,7.34,"""education"""
2021-01-26,space station,3.4,"""space"""
2021-01-26,cricket,5.11,"""game"""
2021-01-26,picturesque,2.59,"""fashion"""
2021-01-26,travel agent,9.24,"""travel"""
2021-01-27,diploma,5.05,"""education"""
2021-01-27,research,7.55,"""game"""
2021-01-27,milky way,5.52,"""cooking"""
2021-01-27,gravitation,9.39,"""sport"""
2021-01-27,fitness,3.39,"""sport"""
2021-01-27,city tour,5.44,"""travel"""
2021-01-27,barbecue,0.93,"""cooking"""
2021-01-28,mission,9.32,"""game"""
2021-01-28,fanbase,1.24,"""game"""
2021-01-28,adventure,2.2,"""sport"""
2021-01-28,picturesque,1.87,"""fashion"""
2021-01-28,flavor,2.33,"""cooking"""
2021-01-29,resort,1.73,"""travel"""
2021-01-29,hiking,3.32,"""sport"""
2021-01-29,dining,5.47,"""cooking"""
2021-01-29,fusion,5.01,"""game"""
2021-01-30,matriculation,3.09,"""education"""
2021-01-30,galaxy,2.58,"""game"""
2021-01-30,destination wedding,3.42,"""fashion"""
2021-01-30,restaurant,1.75,"""cooking"""
2021-01-31,tutoring,8.04,"""sport"""
2021-01-31,diploma,0.74,"""education"""
2021-01-31,stargazing,6.48,"""space"""
2021-01-31,satellite,6.23,"""sport"""
2021-01-31,cruise,3.66,"""travel"""
2021-01-31,comfort,5.22,"""fashion"""
2021-01-31,steak,6.12,"""cooking"""
2021-02-01,extracurricular,4.84,"""sport"""
2021-02-01,slow cooker,1.84,"""cooking"""
2021-02-01,dip,7.92,"""sport"""
2021-02-02,coursework,3.82,"""education"""
2021-02-02,training,2.68,"""education"""
2021-02-02,endurance,5.83,"""cooking"""
2021-02-03,cosmic rays,1.79,"""space"""
2021-02-03,tournament,2.15,"""sport"""
2021-02-03,skateboarding,7.79,"""sport"""
2021-02-03,experience,2.39,"""travel"""
2021-02-03,presentation,1.43,"""education"""
2021-02-03,restaurant,8.24,"""cooking"""
2021-02-04,study habits,3.74,"""education"""
2021-02-04,innovation,8.06,"""game"""
2021-02-04,galaxy,8.22,"""game"""
2021-02-04,performance,1.21,"""sport"""
2021-02-04,sports gear,0.84,"""sport"""
2021-02-04,passport,6.34,"""travel"""
2021-02-04,garnish,7.95,"""fashion"""
2021-02-04,kitchen,8.29,"""cooking"""
2021-02-05,endurance,1.25,"""cooking"""
2021-02-05,resort,9.01,"""travel"""
2021-02-05,itinerary,4.25,"""travel"""
2021-02-05,seafood,7.81,"""cooking"""
2021-02-06,pedagogy,5.09,"""education"""
2021-02-06,qualification,2.27,"""education"""
2021-02-06,stargazing,5.86,"""space"""
2021-02-06,season,3.29,"""sport"""
2021-02-06,cycling,6.81,"""fashion"""
2021-02-06,destination wedding,5.0,"""fashion"""
2021-02-06,budget,8.85,"""fashion"""
2021-02-07,teacher,4.1,"""education"""
2021-02-07,sponsorship,6.17,"""game"""
