timestamp,Cluster,open,high,low,close,Adj close,volume
2016-09-28,[0],1.67,1.67,1.65,1.67,1.64,319788000.0
2016-09-29,"[0, 0, 0]",1.67,1.69,1.65,1.68,1.66,336684000.0
2016-09-30,[0],1.69,1.73,1.68,1.71,1.69,429932000.0
2016-10-14,"[0, 1]",1.65,1.66,1.64,1.65,1.62,330636000.0
2016-10-18,[0],1.66,1.67,1.66,1.67,1.64,269372000.0
2016-10-20,"[0, 0]",1.68,1.7,1.66,1.69,1.67,312084000.0
2016-11-10,"[1, 0]",1.79,1.79,1.67,1.69,1.67,869280000.0
2016-11-11,[0],1.99,2.22,1.96,2.2,2.16,2175344000.0
2016-11-14,[0],2.2,2.2,2.09,2.09,2.06,1348796000.0
2016-11-15,[0],2.11,2.19,2.1,2.15,2.12,626092000.0
2016-12-02,[0],2.16,2.22,2.13,2.21,2.18,478292000.0
2016-12-13,[1],2.25,2.31,2.25,2.28,2.25,387796000.0
2016-12-28,[0],2.99,3.0,2.72,2.73,2.69,2295764000.0
2016-12-29,[1],2.62,2.79,2.57,2.79,2.75,2175368000.0
2017-01-25,[1],2.73,2.73,2.66,2.69,2.66,522760000.0
2017-01-31,"[1, 1]",2.72,2.75,2.7,2.73,2.69,362756000.0
2017-02-08,[0],2.96,2.98,2.91,2.97,2.92,449580000.0
2017-02-09,"[0, 0, 0, 0]",2.97,2.98,2.89,2.91,2.87,842568000.0
2017-02-23,"[0, 0, 0, 0, 0, 1]",2.64,2.66,2.49,2.51,2.48,1592888000.0
2017-02-27,[0],2.56,2.63,2.54,2.61,2.58,715400000.0
2017-03-06,[0],2.42,2.45,2.38,2.44,2.41,883568000.0
2017-03-10,"[0, 0]",2.49,2.5,2.46,2.48,2.44,499740000.0
2017-03-13,"[0, 0, 0, 0]",2.49,2.56,2.49,2.55,2.51,774136000.0
2017-03-14,[0],2.56,2.57,2.51,2.54,2.51,522016000.0
2017-03-15,"[0, 0, 1]",2.56,2.57,2.51,2.56,2.53,615036000.0
2017-03-16,"[0, 1]",2.57,2.6,2.56,2.6,2.56,523100000.0
2017-03-23,[0],2.69,2.71,2.67,2.68,2.64,533940000.0
2017-03-24,[0],2.72,2.73,2.66,2.69,2.65,439500000.0
2017-03-28,[0],2.71,2.72,2.68,2.69,2.66,432444000.0
2017-04-04,"[0, 0, 1, 0, 0, 1]",2.59,2.61,2.51,2.52,2.49,1271280000.0
2017-04-10,[0],2.51,2.52,2.44,2.44,2.41,756332000.0
2017-04-11,[0],2.41,2.47,2.41,2.45,2.42,618148000.0
2017-04-13,"[0, 0, 0]",2.41,2.43,2.39,2.39,2.36,506892000.0
2017-04-19,[0],2.5,2.52,2.49,2.49,2.46,380828000.0
2017-04-24,[1],2.57,2.59,2.55,2.57,2.54,371820000.0
2017-04-25,[0],2.59,2.63,2.57,2.62,2.58,388440000.0
2017-05-01,[0],2.62,2.67,2.61,2.67,2.63,307732000.0
2017-05-03,"[0, 0]",2.58,2.62,2.57,2.61,2.57,336904000.0
2017-05-05,[1],2.58,2.6,2.57,2.6,2.56,228428000.0
2017-05-08,"[0, 0, 0]",2.61,2.61,2.56,2.57,2.53,365240000.0
2017-05-09,"[0, 0]",2.58,2.62,2.57,2.57,2.54,847672000.0
2017-05-10,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0]",2.86,3.05,2.85,3.03,2.99,2129096000.0
2017-05-11,[0],3.0,3.26,3.0,3.16,3.12,1939792000.0
2017-05-12,"[0, 0, 0]",3.17,3.24,3.14,3.2,3.15,962620000.0
2017-05-24,"[0, 1, 1, 1]",3.52,3.53,3.45,3.46,3.42,815996000.0
2017-05-25,"[0, 0]",3.5,3.5,3.41,3.46,3.41,608228000.0
2017-05-31,"[0, 0]",3.67,3.67,3.55,3.61,3.56,887316000.0
2017-06-02,[0],3.61,3.63,3.59,3.59,3.55,487456000.0
2017-06-05,"[0, 0]",3.57,3.71,3.56,3.7,3.65,817376000.0
2017-06-06,"[0, 0]",3.7,3.74,3.67,3.68,3.64,758728000.0
2017-06-08,"[0, 1, 0]",3.84,4.0,3.79,4.0,3.95,1161744000.0
2017-06-09,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",4.12,4.21,3.57,3.74,3.69,3692928000.0
2017-06-12,[0],3.65,3.79,3.55,3.75,3.7,1697532000.0
2017-06-13,[1],3.86,3.87,3.64,3.79,3.74,1672504000.0
2017-06-14,"[0, 0]",3.79,3.85,3.71,3.79,3.75,1184640000.0
2017-06-15,"[0, 0]",3.67,3.84,3.66,3.81,3.76,963824000.0
2017-06-16,[0],3.82,3.87,3.76,3.79,3.74,924960000.0
2017-06-21,"[1, 0]",3.96,3.99,3.89,3.99,3.94,682652000.0
2017-06-27,"[1, 1, 0, 0, 0, 1]",3.79,3.79,3.66,3.66,3.62,999492000.0
2017-06-28,[0],3.73,3.8,3.64,3.79,3.75,994948000.0
2017-06-30,"[1, 0]",3.68,3.7,3.59,3.61,3.57,731060000.0
2017-07-03,[0],3.63,3.64,3.46,3.48,3.44,709072000.0
2017-07-05,"[0, 0, 1, 0, 0, 0]",3.55,3.61,3.53,3.58,3.53,820188000.0
2017-07-10,"[0, 1, 1, 0]",3.74,3.85,3.72,3.84,3.8,958492000.0
2017-07-12,"[1, 1]",3.96,4.07,3.91,4.06,4.01,1145208000.0
2017-07-13,[0],4.07,4.16,3.97,4.02,3.97,1369132000.0
2017-07-20,[0],4.15,4.19,4.1,4.19,4.14,699596000.0
2017-07-25,[1],4.13,4.15,4.09,4.13,4.08,496556000.0
2017-07-27,[0],4.21,4.22,3.94,4.04,3.99,782856000.0
2017-07-28,[0],4.01,4.13,3.98,4.11,4.06,513348000.0
2017-07-31,[1],4.12,4.16,4.02,4.06,4.01,559672000.0
2017-08-01,"[1, 0]",4.05,4.11,4.03,4.11,4.06,431384000.0
2017-08-03,"[1, 1]",4.11,4.17,4.09,4.16,4.11,442420000.0
2017-08-04,[0],4.18,4.25,4.16,4.18,4.13,589096000.0
2017-08-07,[0],4.21,4.31,4.2,4.31,4.26,717412000.0
